country,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15
Macedonia,0.303520179,0.311097501,0.298535099,0.326857477,0.326593979,0.330660381,0.34131421,0.329592149,0.340416895,0.350835713,0.361233166,0.356112777
Madagascar,0.167070664,0.169740112,0.166978614,0.189868369,0.221349452,0.246632506,0.257095517,0.277254457,0.270872327,0.28329907,0.29762818,0.290202817
Malawi,0.224761555,0.231144534,0.229787234,0.25106383,0.260124725,0.269038885,0.289141599,0.302824652,0.307446809,0.313352898,0.318561996,0.321019809
Malaysia,0.241441904,0.243873684,0.230957932,0.261165654,0.288222893,0.315540622,0.340490975,0.346323062,0.360446089,0.374026396,0.388149423,0.384359818
Maldives,0.244749827,0.258960975,0.259144477,0.281123843,0.300493414,0.323573788,0.322432003,0.362047873,0.387391428,0.376891082,0.388084655,0.382600008
Mali,0.091970202,0.09773765,0.09797796,0.113220502,0.168354561,0.220330255,0.259672491,0.304747846,0.32895053,0.3289162,0.346149885,0.354698067
Malta,0.325830608,0.336267218,0.32450909,0.343493215,0.349296037,0.371617844,0.384180743,0.388721346,0.401013164,0.413881029,0.428239839,0.419726208
Marshall Islands,0.230538922,0.239520958,0.239520958,0.269461078,0.280838323,0.273652695,0.269461078,0.308982036,0.302994012,0.300598802,0.286227545,0.286826347
Martinique,0.268892288,0.279089357,0.265722329,0.296934229,0.299394826,0.304892377,0.330917071,0.350867859,0.351931901,0.364944249,0.363481191,0.357274279
Mauritania,0.15928576,0.173983111,0.172564946,0.182943338,0.222200735,0.241990589,0.258299491,0.296461033,0.289628054,0.281828144,0.303745246,0.310836073
Mauritius,0.14627749,0.157172641,0.154173112,0.168498218,0.215051449,0.256816195,0.297316565,0.330297935,0.361961127,0.384585379,0.396596947,0.391512543
Mayotte,0.220345539,0.229757607,0.223955647,0.255544095,0.258896338,0.266632285,0.277720474,0.278365137,0.282104177,0.284424961,0.277075812,0.259927798
Mexico,0.135737282,0.149199559,0.162545293,0.176757326,0.245781269,0.301124777,0.331668891,0.341192854,0.398369757,0.432927016,0.438414116,0.434630784
Micronesia,0.203407331,0.225606608,0.231801755,0.230252969,0.258131131,0.236448116,0.256582344,0.277749097,0.320598864,0.316985028,0.30356221,0.297883325
Moldova,0.23834385,0.252874668,0.256910413,0.253792853,0.265900089,0.287584211,0.289922381,0.292943852,0.292858439,0.315183157,0.317201029,0.326073263
